dataset_case,method,accuracy_mean,neighbor_overlap_mean,embed_time_mean,pipeline_time_mean
standard,raw_knn,0.9852777777777777,,,0.0022351597496405398
standard,pca,0.9422222222222222,0.3782569444444444,0.00041731608340948395,0.010468413250085481
standard,gaussian_rp,0.7511111111111112,0.34232638888888883,0.0003034443332884014,0.010185861000384952
standard,sparse_rp,0.935,0.41379861111111116,0.00045683691663119436,0.010441673583348651
standard,isomap,0.9836111111111111,0.8264722222222223,0.14088005191661068,0.3831195658334157
standard,lle,0.9397222222222222,0.5307152777777778,0.0587813610000012,0.13120680224998674
holes,raw_knn,0.9822222222222222,,,0.0012454236668114997
holes,pca,0.8058333333333333,0.4740138888888889,0.0003899720833639246,0.010404569417156987
holes,gaussian_rp,0.8183333333333334,0.3871458333333333,0.00030461816686511156,0.010180385333417993
holes,sparse_rp,0.946388888888889,0.4287083333333333,0.0004896285836366587,0.010457361333465087
holes,isomap,0.9758333333333334,0.5916666666666667,0.1407671875000839,0.38721547566653197
holes,lle,0.9236111111111112,0.19653472222222224,0.05809632991667968,0.12960251724977448
two_manifold,raw_knn,0.8916666666666666,,,0.0012245243331866125
two_manifold,pca,0.7763888888888889,0.3449027777777778,0.0003825347500120794,0.010291968833219775
two_manifold,gaussian_rp,0.5944444444444444,0.27287500000000003,0.00030385775001680787,0.010069076333214374
two_manifold,sparse_rp,0.7652777777777778,0.32489583333333333,0.0004670762505156745,0.010377451333927942
two_manifold,isomap,0.8316666666666667,0.29125,0.14495686791663806,0.39916862141672027
two_manifold,lle,0.5447222222222222,0.27952083333333333,0.06764662858358861,0.1539333992501876
