dataset_case,method,noise,accuracy_mean,accuracy_std,neighbor_overlap_mean,neighbor_overlap_std,embed_time_mean,embed_time_std,pipeline_time_mean,pipeline_time_std
standard,raw_knn,0.0,0.9877777777777778,0.005091750772173152,,,,,0.005391639332932148,0.006911075820909003
standard,raw_knn,0.1,0.9888888888888889,0.0050917507721732,,,,,0.0012094583332024438,0.00013280735026734101
standard,raw_knn,0.2,0.9822222222222222,0.005091750772173152,,,,,0.00113794433309522,2.5778650406256494e-05
standard,raw_knn,0.35,0.9822222222222221,0.001924500897298749,,,,,0.0012015969993323476,5.1160508213181626e-05
standard,pca,0.0,0.9422222222222222,0.04550132273209614,0.3928611111111111,0.09410995096359556,0.0005058196669172806,0.00011225250920485447,0.011125110999879931,0.0007948214847654486
standard,pca,0.1,0.9488888888888889,0.05167562646325992,0.38949999999999996,0.09561482335100788,0.0003874026673050442,4.318310821996757e-06,0.010142610999537283,0.00015756765357464477
standard,pca,0.2,0.9422222222222222,0.04550132273209614,0.3774722222222222,0.08789886602310723,0.00039044466636066016,2.999340856063624e-06,0.01034830566701809,0.0002375730410978195
standard,pca,0.35,0.9355555555555556,0.049140765305546646,0.3531944444444444,0.08313569619291994,0.00038559733305495075,3.2727355337983443e-06,0.010257625333906617,0.00026597351649878284
standard,gaussian_rp,0.0,0.7677777777777778,0.15671394085804635,0.35333333333333333,0.1022955617045258,0.0003176663334064263,1.5935894565302197e-05,0.01071518033374256,0.0007120734761516086
standard,gaussian_rp,0.1,0.7522222222222222,0.17566803710197043,0.34941666666666665,0.0949993786529388,0.00029759699949257384,8.840747725673692e-07,0.010044194666988915,0.00014002693082257466
standard,gaussian_rp,0.2,0.7444444444444445,0.18646814840709494,0.3418888888888889,0.08354661595203625,0.00030222199954247725,4.020062745263697e-06,0.010014263666865494,1.2532789300584303e-05
standard,gaussian_rp,0.35,0.7399999999999999,0.1795364401266031,0.32466666666666666,0.06954260284970007,0.00029629200071212836,5.525340890565629e-06,0.009969805333942835,0.00012366086324265915
standard,sparse_rp,0.0,0.9344444444444444,0.027148426050823612,0.4342777777777778,0.047081661720571995,0.0004887776673664727,7.257256717597213e-05,0.0107278473333281,0.0005088541344358749
standard,sparse_rp,0.1,0.9355555555555556,0.025239592648001293,0.4270833333333333,0.04526917948351963,0.0004377083332656184,1.940236470370712e-05,0.010250166666082805,8.787459209372368e-05
standard,sparse_rp,0.2,0.9366666666666666,0.01855921454276674,0.4116944444444444,0.0451110769020122,0.0004743196659546811,5.131511264652687e-05,0.010515555333768134,0.00023250313925179567
standard,sparse_rp,0.35,0.9333333333333332,0.024037008503093333,0.38213888888888886,0.041886531027067415,0.0004265419999380053,7.194000233763967e-06,0.010273125000215563,0.00010077799261345604
standard,isomap,0.0,0.9866666666666667,0.006666666666666668,0.8635833333333333,0.014312242234457132,0.14164830566672512,0.0025518880208978837,0.3865413193337493,0.0029471523118831215
standard,isomap,0.1,0.9844444444444443,0.0019245008972988051,0.8583611111111112,0.013577282224090081,0.14145280499966853,0.0020180897971565975,0.3850871526665287,0.0012595228757848315
standard,isomap,0.2,0.9833333333333334,0.0057735026918962545,0.8485,0.01490805151587566,0.14077558333337947,0.006022827575596194,0.37997626399980317,0.0077416650438362055
standard,isomap,0.35,0.98,0.0,0.7354444444444445,0.15383604939217788,0.1396435136666696,0.0018495287836373284,0.38087352733358176,0.0007594839573781655
